role,cancer_id,cancer_normalized,gene_hugo_id,gene_entrez_id,gene_normalized,citation_count
Oncogene,DOID:3070,malignant glioma,HGNC:24086,29974,A1CF,1
Oncogene,DOID:1612,breast cancer,HGNC:24086,29974,A1CF,1
Oncogene,DOID:0080674,luminal breast carcinoma B,HGNC:30205,28971,AAMDC,1
Tumor_Suppressor,DOID:2394,ovarian cancer,HGNC:29,19,ABCA1,1
Oncogene,DOID:9119,acute myeloid leukemia,HGNC:40,5243,ABCB1,2
Oncogene,DOID:769,neuroblastoma,HGNC:40,5243,ABCB1,2
Oncogene,DOID:1612,breast cancer,HGNC:40,5243,ABCB1,2
Oncogene,DOID:10534,stomach cancer,HGNC:40,5243,ABCB1,2
Tumor_Suppressor,DOID:10534,stomach cancer,HGNC:40,5243,ABCB1,1
Oncogene,DOID:9952,acute lymphoblastic leukemia,HGNC:40,5243,ABCB1,1
Oncogene,DOID:684,hepatocellular carcinoma,HGNC:40,5243,ABCB1,1
Oncogene,DOID:4001,ovarian carcinoma,HGNC:40,5243,ABCB1,1
Oncogene,DOID:3119,gastrointestinal system cancer,HGNC:40,5243,ABCB1,1
Oncogene,DOID:4467,clear cell renal cell carcinoma,HGNC:41,23456,ABCB10,1
Oncogene,DOID:3070,malignant glioma,HGNC:41,23456,ABCB10,1
Oncogene,DOID:1781,thyroid gland cancer,HGNC:41,23456,ABCB10,1
Oncogene,DOID:1612,breast cancer,HGNC:41,23456,ABCB10,1
Tumor_Suppressor,DOID:1324,lung cancer,HGNC:45,5244,ABCB4,2
Tumor_Suppressor,DOID:9256,colorectal cancer,HGNC:45,5244,ABCB4,1
Driver,DOID:1909,melanoma,HGNC:46,340273,ABCB5,4
Tumor_Suppressor,DOID:1909,melanoma,HGNC:46,340273,ABCB5,2
Oncogene,DOID:769,neuroblastoma,HGNC:51,4363,ABCC1,1
Tumor_Suppressor,DOID:1793,pancreatic cancer,HGNC:54,8714,ABCC3,1
Oncogene,DOID:1324,lung cancer,HGNC:55,10257,ABCC4,1
Oncogene,DOID:2394,ovarian cancer,HGNC:71,10061,ABCF2,1
Oncogene,DOID:1324,lung cancer,HGNC:73,9619,ABCG1,2
Oncogene,DOID:4362,cervical cancer,HGNC:74,9429,ABCG2,1
Oncogene,DOID:1612,breast cancer,HGNC:74,9429,ABCG2,1
Driver,DOID:3070,malignant glioma,HGNC:74,9429,ABCG2,1
Oncogene,DOID:2394,ovarian cancer,HGNC:16407,83451,ABHD11,1
Tumor_Suppressor,DOID:9256,colorectal cancer,HGNC:21396,51099,ABHD5,4
Tumor_Suppressor,DOID:219,colon cancer,HGNC:21396,51099,ABHD5,2
Tumor_Suppressor,DOID:10283,prostate cancer,HGNC:21396,51099,ABHD5,2
Oncogene,DOID:1380,endometrial cancer,HGNC:21396,51099,ABHD5,2
Oncogene,DOID:9256,colorectal cancer,HGNC:21396,51099,ABHD5,1
Oncogene,DOID:3908,lung non-small cell carcinoma,HGNC:21398,57406,ABHD6,1
Tumor_Suppressor,DOID:10283,prostate cancer,HGNC:11320,10006,ABI1,3
Tumor_Suppressor,DOID:5517,stomach carcinoma,HGNC:11320,10006,ABI1,1
Tumor_Suppressor,DOID:5520,head and neck squamous cell carcinoma,HGNC:24011,10152,ABI2,1
Tumor_Suppressor,DOID:3963,thyroid gland carcinoma,HGNC:29859,51225,ABI3,1
Oncogene,DOID:8552,chronic myeloid leukemia,HGNC:76,25,ABL1,674
Oncogene,DOID:1240,leukemia,HGNC:76,25,ABL1,187
Driver,DOID:8552,chronic myeloid leukemia,HGNC:76,25,ABL1,63
Oncogene,DOID:9952,acute lymphoblastic leukemia,HGNC:76,25,ABL1,60
Driver,DOID:1240,leukemia,HGNC:76,25,ABL1,50
Oncogene,DOID:2226,myeloproliferative neoplasm,HGNC:76,25,ABL1,41
